number,value,datetime_start,datetime_complete,duration,params_actor_learning_rate,params_critic_learning_rate,params_ent_coef,params_gamma,params_n_neurons,params_n_steps,state
2,181.59201049804688,2025-10-15 23:09:10.574347,2025-10-15 23:09:16.459278,0 days 00:00:05.884931,0.00027212556221292955,3.61299341896982e-05,0.000341479333026806,0.9957597328914045,64,4096,COMPLETE
0,148.3599853515625,2025-10-15 23:09:02.040986,2025-10-15 23:09:13.432439,0 days 00:00:11.391453,2.6869037245166196e-05,1.9582773325633374e-05,1.0639941182452738e-05,0.9265538503057801,128,4096,COMPLETE
1,60.90133285522461,2025-10-15 23:09:02.042216,2025-10-15 23:09:10.573574,0 days 00:00:08.531358,1.6519494748351214e-05,0.0003469962293496155,2.9626821941683034e-06,0.9868277669742052,64,2048,COMPLETE
